SITZUNGSDAUERLAUF -- Google Pixel 9
Android 17 (API 37)

300 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 143
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  115  160    13     6799     13187    214300   20      2996    2       ja
  116  160    13     6975     13202    214292   20      2992    2       ja
  117  160    13     7144     13217    214524   20      2966    1       ja
  118  160    13     7312     13232    214516   17      3042    1       ja
  119  160    13     7488     13247    214756   22      2991    1       ja
  120  159    13     7689     13265    214748   37      2956    1       ja
  121  159    13     7865     13280    214984   19      2975    1       ja
  122  159    13     8001     13295    214976   20      3021    1       ja
  123  159    13     8209     13310    214968   16      3015    1       ja
  124  159    13     4697     12987    212592   12      3059    0       ja
  125  159    13     4865     13002    212584   15      2987    1       ja
  126  159    13     5042     13017    213088   19      2998    1       ja
  127  159    13     5178     13032    213080   20      2968    1       ja
  128  159    13     5418     13048    213072   21      2981    1       ja
  129  159    13     5554     13063    213304   22      2922    0       ja
  130  158    13     5755     13081    213296   36      2901    2       ja
  131  158    13     5891     13096    213536   24      3019    1       ja
  132  158    13     6091     13111    213528   29      2959    1       ja
  133  158    13     6235     13126    213520   19      2983    1       ja
  134  158    13     6403     13141    213752   24      2976    1       ja
  135  158    13     6571     13156    213744   15      3007    1       ja
  136  158    13     6715     13172    213984   19      2975    0       ja
  137  158    13     6883     13187    213976   17      2981    1       ja
  138  158    13     7051     13202    213968   19      2974    1       ja
  139  158    13     7227     13217    214200   18      3033    1       ja
  140  158    13     7428     13235    214416   48      2974    1       ja
  141  158    13     7572     13250    214656   26      2952    1       ja
  142  158    13     7772     13266    214648   22      3042    1       ja
  143  158    13     7973     13281    214884   18      3011    1       ja
  144  158    13     8117     13296    215140   20      2921    1       ja
  145  158    13     8285     13311    215132   13      2997    1       ja
  146  158    13     8453     13326    215368   18      2979    0       ja
  147  158    13     8629     13342    215360   14      3021    2       ja
  148  158    13     8765     13357    215352   19      2956    1       ja
  149  158    13     4705     13004    213012   15      2976    1       ja
  150  160    13     4954     13022    213148   39      3014    2       ja
  151  160    13     5090     13037    213140   22      2971    0       ja
  152  160    13     5298     13052    213380   20      3037    1       ja
  153  160    14     5498     13064    213372   21      2992    0       ja
  154  160    14     5667     13079    213608   21      2934    1       ja
  155  160    14     5843     13094    213600   16      2972    1       ja
  156  160    14     5979     13110    213592   28      2976    1       ja
  157  160    14     6187     13125    213828   16      3001    1       ja
  158  160    14     6355     13140    213820   15      3020    1       ja
  159  160    14     6555     13155    214056   18      2999    1       ja
  160  159    14     6692     13173    214048   39      2975    1       ja
  161  159    14     6900     13188    214304   16      2997    1       ja
  162  159    14     7036     13203    214540   16      2978    1       ja
  163  159    14     7204     13219    214532   21      2990    1       ja
  164  159    14     7380     13234    214772   19      3054    1       ja
  165  159    14     7548     13249    214764   24      3029    1       ja
  166  159    14     7724     13264    214756   18      2982    1       ja
  167  159    14     7861     13279    214988   18      3004    1       ja
  168  159    14     8029     13295    214980   22      3005    1       ja
  169  159    14     4677     12997    212944   19      3008    1       ja
  170  158    14     4910     13015    213272   57      2963    1       ja
  171  158    14     5078     13030    213264   19      3017    1       ja
  172  158    14     5246     13045    213496   19      3002    0       ja
  173  158    14     5422     13060    213488   21      2960    0       ja
  174  158    14     5559     13076    213728   16      2973    1       ja
  175  158    15     5823     13093    213616   19      2989    1       ja
  176  158    15     5967     13108    213608   14      2975    1       ja
  177  158    15     6103     13124    213840   27      2990    1       ja
  178  158    15     6303     13139    213832   22      3028    0       ja
  179  158    15     6447     13154    214336   15      2908    1       ja
  180  158    15     6648     13172    214328   33      3019    1       ja
  181  158    15     6824     13186    214624   17      2959    1       ja
  182  158    15     6960     13202    214616   20      3011    1       ja
  183  158    15     7160     13218    214608   21      2974    1       ja
  184  158    15     7336     13233    214844   19      2955    2       ja
  185  158    15     7472     13248    214836   22      2954    1       ja
  186  158    15     7672     13264    215072   29      2995    1       ja
  187  158    15     7817     13279    215064   26      3030    1       ja
  188  158    15     7985     13294    215056   13      3049    1       ja
  189  158    15     8153     13310    215344   20      3008    1       ja
  190  159    15     8322     13328    215336   30      3029    1       ja
  191  159    15     4757     13009    212964   18      3046    1       ja
  192  159    15     4957     13025    212956   17      2992    1       ja
  193  159    15     5166     13034    212948   15      2968    1       ja
  194  159    15     5334     13049    213184   20      2960    1       ja
  195  159    15     5542     13064    213176   21      3078    1       ja
  196  159    15     5678     13080    213676   19      3026    1       ja
  197  159    15     5846     13095    213668   20      2950    1       ja
  198  159    15     6022     13110    213660   17      3034    2       ja
  199  159    15     6158     13125    213892   19      2975    1       ja
  200  159    15     6375     13143    213884   37      2999    2       ja
  201  159    15     6543     13158    214124   18      3039    1       ja
  202  159    15     6719     13174    214116   20      2961    1       ja
  203  159    15     6855     13189    210520   41      2835    1       ja
  204  159    15     7023     13204    204140   12      2901    1       ja
  205  159    15     7199     13219    192124   27      2853    1       ja
  206  159    15     7367     13233    181028   5       2824    1       ja
  207  159    15     7544     13249    173108   19      2918    0       ja
  208  159    15     7712     13264    173100   17      2946    1       ja
  209  159    15     7848     13279    173332   13      2920    1       ja
  210  160    15     8049     13297    175928   37      2932    1       ja
  211  160    15     8217     13312    176168   14      3008    1       ja
  212  160    15     8385     13327    176160   20      2953    1       ja
  213  160    15     8585     13342    176396   18      2972    1       ja
  214  160    15     8761     13358    176388   16      2955    1       ja
  215  160    15     8897     13373    176380   20      2965    1       ja
  216  160    15     4765     13006    173980   20      3017    1       ja
  217  160    15     4965     13021    173968   20      2914    2       ja
  218  160    15     5142     13036    174208   19      2964    1       ja
  219  160    15     5278     13051    174200   18      3007    1       ja
  220  159    15     5494     13069    174192   41      2984    1       ja
  221  159    15     5631     13084    174424   24      3009    1       ja
  222  159    15     5839     13099    174416   20      2973    1       ja
  223  159    15     5975     13115    174656   16      2960    1       ja
  224  159    15     6143     13130    174892   31      3021    1       ja
  225  159    15     6319     13145    175128   15      2959    2       ja
  226  159    15     6455     13160    175120   19      2962    1       ja
  227  159    15     6663     13175    175112   17      3030    1       ja
  228  159    15     6831     13191    175348   21      2972    1       ja
  229  159    15     6999     13206    175340   18      2996    1       ja
  230  158    15     7200     13224    175576   46      2979    1       ja
  231  158    15     7368     13235    175568   20      2927    1       ja
  232  158    15     7512     13250    175560   15      2980    1       ja
  233  158    15     7680     13266    175796   22      3037    2       ja
  234  158    15     7848     13281    175788   16      3004    2       ja
  235  158    15     8025     13296    176024   26      2985    1       ja
  236  158    15     8161     13311    176016   16      3010    1       ja
  237  158    15     4785     13006    173628   21      3026    1       ja
  238  158    15     4953     13021    173864   28      2987    1       ja
  239  158    15     5130     13037    173856   17      2962    1       ja
  240  157    15     5330     13055    174096   40      2983    2       ja
  241  157    15     5506     13070    174348   17      2963    1       ja
  242  157    15     5643     13085    174340   18      2980    1       ja
  243  157    15     5843     13100    174572   28      2906    1       ja
  244  157    15     5987     13115    174564   19      2961    0       ja
  245  157    15     6123     13130    174804   15      2973    0       ja
  246  157    15     6323     13146    174796   25      3013    2       ja
  247  157    15     6467     13161    174788   16      2973    1       ja
  248  157    15     6635     13176    175020   28      3043    0       ja
  249  157    15     6803     13191    175012   31      2983    1       ja
  250  158    15     6972     13210    175252   36      2972    1       ja
  251  158    15     7180     13225    175244   22      2960    2       ja
  252  158    15     7356     13240    175236   15      2985    0       ja
  253  158    15     7492     13255    175468   20      3020    1       ja
  254  158    15     7692     13271    175460   17      3009    2       ja
  255  158    15     7836     13286    175700   19      2954    1       ja
  256  158    15     8005     13301    175692   20      3024    1       ja
  257  158    15     8173     13320    175684   20      3027    2       ja
  258  158    15     8317     13332    175916   17      3044    1       ja
  259  158    15     4889     13033    173636   13      2984    1       ja
  260  159    15     5090     13051    173864   47      3045    1       ja
  261  159    15     5258     13066    173856   17      2931    1       ja
  262  159    15     5458     13081    174096   17      3018    0       ja
  263  159    15     5602     13096    174088   17      2924    1       ja
  264  159    15     5739     13112    174080   18      2937    1       ja
  265  159    15     5947     13127    174312   12      2963    1       ja
  266  159    15     6083     13142    174304   19      2990    1       ja
  267  159    15     6251     13157    174544   17      2940    1       ja
  268  159    17     6523     13176    174540   20      2987    1       ja
  269  159    17     6691     13192    174532   13      2973    1       ja
  270  159    17     6876     13210    174764   38      2990    1       ja
  271  159    17     7044     13225    174756   22      2879    1       ja
  272  159    17     7220     13240    174996   17      2965    1       ja
  273  159    17     7420     13255    174988   19      2977    1       ja
  274  159    17     7556     13271    175224   15      3020    1       ja
  275  159    17     7764     13286    175216   19      2977    1       ja
  276  159    17     7900     13301    175472   16      3001    2       ja
  277  159    17     8076     13316    175708   18      3012    0       ja
  278  159    17     8245     13331    175700   19      2973    0       ja
  279  159    17     8381     13346    175936   17      3021    1       ja
  280  159    17     8581     13364    175928   42      2954    1       ja
  281  159    17     8750     13379    175920   20      2955    0       ja
  282  159    17     8926     13395    176392   15      3002    0       ja
  283  159    17     4881     13046    173740   26      2974    1       ja
  284  159    17     5057     13061    173708   24      3005    2       ja
  285  159    17     5290     13077    173700   18      3003    1       ja
  286  159    17     5426     13092    173932   20      2982    1       ja
  287  159    17     5634     13107    174172   11      2966    1       ja
  288  159    17     5770     13122    174412   20      3000    2       ja
  289  159    17     5978     13137    174404   18      3012    1       ja
  290  160    17     6115     13155    175272   35      3037    1       ja
  291  160    17     6323     13171    175264   15      2981    2       ja
  292  160    17     6459     13186    175256   16      3039    0       ja
  293  160    17     6659     13201    175492   15      3080    1       ja
  294  160    17     6803     13216    175484   21      2981    1       ja
  295  160    17     6971     13231    175720   17      3006    2       ja
  296  160    17     7147     13247    175712   19      2963    1       ja
  297  160    17     7283     13262    175704   17      2955    1       ja
  298  160    17     7484     13277    175940   19      2973    1       ja
  299  160    17     7628     13292    175932   22      2971    1       ja
  300  159    17     7828     13309    176172   39      3024    1       ja

ZEIGERARTEN ÜBER DEN LAUF
  Art                      Sitz. 1  Mitte    Ende     Einordnung
  Binder                   1        1        1        unverändert
  Datei in /data           3        3        3        unverändert
  Datei in /system         8        8        8        unverändert
  Ereigniszähler           9        9        9        unverändert
  Gerät mali0              1        1        1        unverändert
  Gerät null               11       10       10       unverändert
  Gerät urandom            1        1        1        unverändert
  Grafikpuffer             10       10       10       unverändert
  Programmpaket            14       14       14       unverändert
  Rohr                     2        2        2        unverändert
  Steckdose                13       13       13       unverändert
  geteilter Speicher       8        8        8        unverändert
  namenlos [eventpoll]     4        4        4        unverändert
  namenlos [userfaultfd]   1        1        1        unverändert
  namenlos malitl_17494_0xb400007178b50b78 1        1        1        unverändert
  namenlos malitl_17494_0xb400007178b68738 1        1        1        unverändert
  namenlos sync_file       8        26       25       gewachsen, aber nicht stetig
  sonstiges                47       47       47       unverändert

ZEIGER NACH ART -- Unterschied zwischen Sitzung 1 und 300
  namenlos sync_file       +17
  Gerät null               -1

  Bestand am Ende:
    sonstiges                47
      /sys/kernel/tracing/trace_marker
      /apex/com.android.art/javalib/core-oj.jar
      /apex/com.android.art/javalib/core-libart.jar
      /apex/com.android.art/javalib/okhttp.jar
      /apex/com.android.art/javalib/bouncycastle.jar
    namenlos sync_file       25
      anon_inode:sync_file
    Programmpaket            14
    Steckdose                13
    Gerät null               10
    Grafikpuffer             10
    Ereigniszähler           9
    Datei in /system         8
    geteilter Speicher       8
    namenlos [eventpoll]     4
      anon_inode:[eventpoll]
    Datei in /data           3
    Rohr                     2
    Gerät urandom            1
    namenlos [userfaultfd]   1
      anon_inode:[userfaultfd]
    Binder                   1
    Gerät mali0              1
    namenlos malitl_17494_0xb400007178b50b78 1
      anon_inode:malitl_17494_0xb400007178b50b78
    namenlos malitl_17494_0xb400007178b68738 1
      anon_inode:malitl_17494_0xb400007178b68738

URTEIL
  Sitzungen ohne Text: 0 von 300
  Dateizeiger:   Mitte 159, Ende 159, Zuwachs 0 (0,00 je Sitzung) -- Plateau erreicht
  Fäden:         Mitte 14, Ende 16, Zuwachs 3 (0,02 je Sitzung) -- Plateau erreicht

  Speicher -- beurteilt am Boden nach der Bereinigung, nicht am Mittel:
  Java-Halde:    **Boden steigt gleichmäßig** (4473 -> 4613 -> 4765, Zuwächse 140, 152) -- Leck möglich
  native Halde:  Boden steigt mit schrumpfenden Zuwächsen (12669 -> 12987 -> 13006, Zuwächse 318, 19) -- pendelt sich ein
  RSS:           Boden bleibt liegen (209164 -> 212584 -> 173100) -- kein Leck

  Wird es langsamer? Ein Ressourcenstau zeigt sich oft zuerst so.
  Startlatenz:   Mitte 21, Ende 21, Zuwachs -1 (-0,01 je Sitzung) -- kein Wachstum
  Sitzungsdauer: Mitte 2989, Ende 2986, Zuwachs -3 (-0,02 je Sitzung) -- kein Wachstum
  Aufräumdauer:  Mitte 1, Ende 1, Zuwachs 0 (0,00 je Sitzung) -- Plateau erreicht
