SITZUNGSDAUERLAUF -- Google sdk_gphone64_x86_64
Android 14 (API 34)

900 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 112
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  114  127    14     5397     16564    193856   9       2614    1       ja
  115  127    14     5518     16577    194108   9       2616    0       ja
  116  127    14     5654     16591    194340   5       2649    1       ja
  117  127    14     5774     16605    194328   8       2614    0       ja
  118  127    14     5879     16619    194316   6       2603    0       ja
  119  127    14     5998     16633    194540   8       2659    1       ja
  120  127    14     6150     16648    194528   41      2634    0       ja
  121  127    14     6271     16662    194520   6       2620    0       ja
  122  127    14     6390     16676    194748   5       2622    0       ja
  123  127    14     6558     16689    194740   9       2614    0       ja
  124  127    14     6679     16703    194972   7       2619    0       ja
  125  127    14     6799     16717    194960   6       2666    0       ja
  126  127    14     6919     16731    194948   18      2621    1       ja
  127  127    14     7039     16744    195184   8       2608    1       ja
  128  127    14     7159     16758    195172   7       2610    0       ja
  129  127    14     7280     16772    195160   6       2614    0       ja
  130  127    14     7415     16788    195384   7       2637    0       ja
  131  127    14     7551     16801    195372   7       2615    0       ja
  132  127    14     7688     16815    195360   5       2613    0       ja
  133  127    14     7807     16829    195588   6       2621    0       ja
  134  127    14     7960     16843    195580   5       2607    0       ja
  135  127    14     8080     16856    196076   9       2633    1       ja
  136  127    14     8200     16870    196064   8       2620    1       ja
  137  127    14     8304     16884    196052   12      2617    1       ja
  138  127    14     8440     16897    196284   6       2616    0       ja
  139  127    14     8560     16911    196272   6       2624    0       ja
  140  127    14     8697     16927    196264   17      2625    1       ja
  141  127    14     8816     16941    196500   7       2609    1       ja
  142  127    14     8952     16954    196488   8       2607    0       ja
  143  127    15     9089     16944    196476   10      2604    1       ja
  144  127    15     9225     16958    196704   7       2632    0       ja
  145  127    15     9361     16972    196696   7       2632    0       ja
  146  127    15     9497     16985    196928   5       2610    0       ja
  147  127    15     9601     16999    196916   10      2624    1       ja
  148  127    15     9737     17013    196904   7       2607    1       ja
  149  127    15     5217     16526    193832   8       2624    0       ja
  150  127    15     5385     16542    193820   6       2634    1       ja
  151  127    15     5489     16556    193808   5       2651    0       ja
  152  127    15     5610     16569    194036   6       2632    0       ja
  153  127    15     5730     16583    194028   6       2609    0       ja
  154  127    15     5835     16597    194016   5       2630    0       ja
  155  127    15     5971     16611    194508   9       2676    0       ja
  156  127    15     6090     16624    194496   8       2612    0       ja
  157  127    15     6211     16638    194732   6       2613    1       ja
  158  127    15     6315     16652    194720   8       2620    1       ja
  159  127    15     6467     16665    194708   8       2612    1       ja
  160  127    15     6587     16681    194944   21      2655    0       ja
  161  127    15     6739     16695    194936   13      2608    0       ja
  162  127    15     6859     16709    194924   5       2605    1       ja
  163  127    15     6996     16722    195152   8       2623    1       ja
  164  127    15     7099     16736    195144   14      2623    0       ja
  165  127    15     7235     16750    195132   9       2665    1       ja
  166  127    15     7372     16764    195360   5       2669    0       ja
  167  127    15     7492     16777    195348   5       2607    0       ja
  168  127    15     7596     16791    195584   8       2607    0       ja
  169  127    15     7732     16805    195572   6       2611    0       ja
  170  127    15     7868     16820    195560   19      2615    0       ja
  171  127    15     7988     16834    195792   10      2622    0       ja
  172  127    15     8140     16848    195784   12      2635    0       ja
  173  127    15     8260     16862    195772   9       2660    0       ja
  174  127    15     8365     16875    196000   12      2605    1       ja
  175  127    15     8500     16889    195992   9       2633    0       ja
  176  127    15     8636     16903    196244   16      2625    0       ja
  177  127    15     8773     16917    196472   10      2613    0       ja
  178  127    15     8893     16930    196460   8       2665    0       ja
  179  127    15     9029     16944    196696   9       2626    1       ja
  180  127    15     9149     16960    196684   43      2611    0       ja
  181  127    15     9269     16973    196672   6       2632    0       ja
  182  127    15     9405     16987    196904   8       2638    1       ja
  183  127    15     9525     17001    196896   9       2621    1       ja
  184  127    15     9661     17014    196884   9       2607    0       ja
  185  127    15     9798     17028    197056   8       2618    0       ja
  186  127    15     5143     16509    193352   10      2612    0       ja
  187  127    15     5263     16523    193580   8       2609    0       ja
  188  127    15     5399     16537    193568   8       2603    1       ja
  189  127    15     5504     16550    193556   6       2618    1       ja
  190  127    15     5672     16566    193792   6       2624    1       ja
  191  127    15     5777     16580    193780   6       2607    0       ja
  192  127    15     5913     16594    193768   9       2643    1       ja
  193  127    15     6032     16607    193996   7       2608    1       ja
  194  127    15     6169     16621    193988   6       2618    1       ja
  195  127    15     6273     16635    194484   7       2619    0       ja
  196  127    15     6393     16648    194736   17      2614    1       ja
  197  127    15     6513     16662    194724   9       2610    0       ja
  198  127    15     6681     16676    194960   8       2609    1       ja
  199  127    15     6785     16690    194948   8       2644    0       ja
  200  127    15     6938     16705    194936   20      2631    0       ja
  201  127    15     7057     16719    195168   7       2611    1       ja
  202  127    15     7177     16733    195156   5       2605    0       ja
  203  127    15     7298     16746    195144   7       2610    0       ja
  204  127    15     7433     16760    195368   5       2607    0       ja
  205  127    15     7538     16774    195360   9       2654    0       ja
  206  127    15     7674     16788    195592   16      2619    0       ja
  207  127    15     7794     16801    195580   6       2617    0       ja
  208  127    15     7914     16815    195568   5       2609    1       ja
  209  127    15     8034     16829    195800   11      2612    0       ja
  210  127    15     8202     16845    195788   21      2604    0       ja
  211  127    15     8307     16858    195776   5       2624    0       ja
  212  127    15     8442     16872    196012   7       2614    0       ja
  213  127    15     8562     16885    195836   9       2604    1       ja
  214  127    15     8683     16899    195824   5       2601    0       ja
  215  127    15     8803     16913    196052   5       2605    1       ja
  216  127    15     8923     16926    196308   5       2612    0       ja
  217  127    15     9059     16940    196296   7       2607    0       ja
