SITZUNGSDAUERLAUF -- samsung SM-A156B
Android 16 (API 36)

300 vollständige Diktate hintereinander, im selben Prozess.
Ohne Neustart, ohne Hintergrund, ohne erzwungenes Aufräumen.
Seitengröße für RSS: 4 KB (fest angenommen).

KONTROLLSITZUNG
  Text erkannt: ja, Fehler keiner, Zeiger 172
  in Ordnung

VERLAUF -- jede Sitzung
  Nr   Zeig   Fäden  Java KB  nativ    RSS KB   Start   Dauer   Aufräum Text
  115  185    18     7952     23278    128092   24      3150    1       ja
  116  185    18     8152     23283    128088   31      3159    2       ja
  117  185    18     8289     23289    128084   27      3150    2       ja
  118  185    18     8505     23111    128392   29      3152    2       ja
  119  185    18     8673     23117    128388   31      3145    2       ja
  120  185    18     8905     23217    128620   58      3160    2       ja
  121  185    18     9089     23221    128616   28      3152    1       ja
  122  185    18     9289     23219    128848   30      3149    2       ja
  123  185    18     9457     23224    128844   28      3156    1       ja
  124  185    18     9641     23226    129276   30      3155    2       ja
  125  185    18     9841     23226    129272   30      3157    1       ja
  126  185    18     9977     23235    128896   31      3156    1       ja
  127  185    18     10194    23242    129128   30      3149    1       ja
  128  185    18     10362    23248    129384   31      3159    1       ja
  129  185    18     10530    23247    129620   30      3168    2       ja
  130  185    18     4987     23002    126064   51      3151    2       ja
  131  185    18     5219     23001    126296   29      3164    1       ja
  132  185    18     5387     23007    126292   28      3160    1       ja
  133  185    18     5523     23014    126524   29      3159    0       ja
  134  185    18     5739     23012    126520   32      3165    0       ja
  135  185    18     5907     23018    126516   29      3162    2       ja
  136  185    18     6043     23021    126748   23      3155    2       ja
  137  185    18     6259     23024    126948   29      3146    1       ja
  138  185    18     6428     23028    127184   35      3149    1       ja
  139  185    18     6596     23029    127124   29      3151    0       ja
  140  185    19     6908     23190    127376   44      3153    2       ja
  141  185    19     7076     23175    127468   30      3153    2       ja
  142  185    19     7244     23180    127700   29      3155    0       ja
  143  185    19     7428     23183    127696   29      3166    2       ja
  144  185    19     7628     23187    127692   24      3160    2       ja
  145  185    19     7764     23184    127924   24      3157    2       ja
  146  185    19     7948     23191    127920   30      3163    1       ja
  147  185    19     8148     23190    128156   29      3157    2       ja
  148  185    19     8284     23193    128152   30      3159    1       ja
  149  185    19     8469     23192    128384   26      3161    1       ja
  150  185    19     8733     23181    128696   56      3151    2       ja
  151  185    19     8901     23188    128924   28      3152    1       ja
  152  185    19     9085     23164    128920   26      3146    1       ja
  153  185    19     9285     23158    128916   26      3154    2       ja
  154  185    19     9421     23160    129148   31      3141    1       ja
